侯孝贤
序号	评分	电影名	电影信息
0	8.9	悲情城市	[(0, '主演是陈松勇,李天禄,高捷,辛树芬,陈淑芳。编剧是吴念真Nien-JenWu、朱天文。类型是剧情、历史。制片国家/地区是中国台湾。语言是闽南语、汉语普通话、日语、上海话、粤语。上映时间是1989-10-21(中国台湾)。时长是157分钟。'), (1, '剧情简介是普通人的命运在轰轰烈烈的时代面前总是渺小到可以忽略不计。个人，如果勇敢地站出来想阻止时代洪流，多少像奋力扑向风车的唐吉坷德，往往只能当殉道者，而更多时候，个人甚至连选择当旁观者的权利也没有。可是普通人的悲剧，无疑能照出历史的荒谬与残忍。1945年日本无条件投降后台湾光复，基隆一户林姓人家眼见也要过上好日子，但人算不如天算，林家大小波折从此不断。“二•二八”事件发生后，家中的四兄弟更是只剩下老老实实开有一家照相馆的聋哑人老四林文清（梁朝伟）。然而悲剧并没到此终止，因为和进步人士有联系，林文清也没能逃脱被逮捕的命运，到此，林家男子只剩林文清和吴宽美（辛树芬）的幼儿——他尚呆在襁褓中咿呀咿呀地学语。'), (2, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/悲情城市/image/海报1.jpg'), (3, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/悲情城市/image/剧照1.jpg'), (4, 'None')]
1	8.7	恋恋风尘戀戀風塵	[(0, '主演是李天禄,辛树芬,王晶文,柯宇纶。编剧是吴念真Nien-JenWu、朱天文。类型是剧情、爱情。制片国家/地区是中国台湾。语言是汉语普通话、粤语、闽南语。上映时间是1986(中国台湾)。时长是109分钟。'), (1, '剧情简介是初中毕业后，因家境不许，15岁的农村少年阿远（王晶文）放弃学业来台北做事，初尝人生的辛苦，却仍为自己的理想努力着。一年后，阿远青梅竹马的恋人阿云（辛树芬）也来到台北，了解到现实的台北同阿远信里所描述的，是两个世界。可是困顿的环境并没减少他们的快乐，因为他们拥有彼此。阿远服兵役时，因为有每日抵达的书信，孤身在台北的阿云起初并没感到有多孤独。然而日子久了，遥远恋人的纸上诉情总比不过现实生活中鲜活男孩的低声耳语，加上对未来怀有的恐慌，阿云在阿远退伍前选择了嫁作他人妇。伤心虽有，阿远也只能选择抑压。'), (2, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/恋恋风尘 戀戀風塵/image/海报1.jpg'), (3, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/恋恋风尘 戀戀風塵/image/剧照1.jpg'), (4, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/恋恋风尘 戀戀風塵/video/视频1.mp4')]
2	8.9	童年往事	[(0, '主演是游安顺,田丰,梅芳,唐如韫,萧艾。编剧是朱天文、侯孝贤。类型是剧情、家庭、传记。制片国家/地区是中国台湾。语言是汉语普通话、闽南语、客家话。上映时间是1985-08-03(中国台湾)。时长是137分钟。'), (1, '剧情简介是从大陆迁往台湾的一家人，在表面平静的日子下，各怀心事。祖母（唐如韫）对大陆念念不忘，一心想回去；父（田丰）母（梅芳）虽也有“外省人”身份的尴尬，却也清楚知道回大陆只是梦一场；姐姐（萧艾）差不多已当自己是台湾本地人，偶尔伤心落泪是因想起为替父母分重担放弃了念大学；小孩子阿孝咕（游安顺），则只想着自己如何玩得痛快，完全没有大陆的概念，而对父亲的死，他只觉突然并无太多伤心。可是因为家庭的特殊，懵懂中阿孝咕也知自己并不完全相同于同龄人。尽管表面上他做着多数成长中男孩都会做的事（四处打架、开始中意某个女孩子），内里却已埋下会突然裂变的种子，只等某个契机的来临。'), (2, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/童年往事/image/海报1.jpg'), (3, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/童年往事/image/剧照1.jpg'), (4, 'None')]
3	8.4	风柜来的人風櫃來的人	[(0, '主演是钮承泽,张世,庹宗华,林秀玲,杨丽音。编剧是朱天文。类型是剧情。制片国家/地区是中国台湾。语言是汉语普通话、闽南语。上映时间是1983(中国台湾)。时长是100分钟。'), (1, '剧情简介是阿清（钮承泽）、阿荣（张世）等男孩生于风柜长于风柜，他们在高中毕业后等待征兵的日子里百无聊赖，每日通过赌博、打架、看白戏等形式来挥霍过量的精力。因为一次较严重的打架事件，也因对周遭环境的厌倦，他们怀揣几颗忐忑的心，离开风柜来到高雄。起始，自然只能如迷途羔羊般，在大都市的五光十色中乱撞。在阿荣姐姐的帮助下，他们有了暂时的栖身处。而安稳下之后，阿清和阿荣因渐形成不同的世界观产生分歧。一封家书勾起阿清有关父亲的复杂回忆，加上眼见爱慕对象小杏（林秀玲）与男友（庹宗华）情感变故，阿清沉默了下来。'), (2, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/风柜来的人 風櫃來的人/image/海报1.jpg'), (3, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/风柜来的人 風櫃來的人/image/剧照1.jpg'), (4, 'None')]
4	7.6	最好的时光最好的時光	[(0, '主演是舒淇,张震,梅芳,廖淑珍,狄玫。编剧是朱天文、侯孝贤。类型是剧情、爱情。制片国家/地区是中国台湾。语言是汉语普通话、闽南语。上映时间是2005-10-28(中国台湾)。时长是130分钟。'), (1, '剧情简介是该片是侯孝贤对自己电影生涯所作的一次总结。三段故事里男（张震）女（舒淇）主角表达情感的方式及所处时代背景，都能在侯孝贤各个时期的影片里找到对应。《恋爱梦》纯净，似不可抵达的梦的彼岸；《自由梦》感人，却是接近天国的更遥远的梦境；《青春梦》冰冷，却是现实。冒失说出侯孝贤眼中“最好的时光（或最好的电影时光）”是哪一段并无太大意义，因为所有的时光都是被辜负被浪费的，也只有在辜负浪费之后，才能从记忆里将某一段拎出，拍拍上面沉积的灰尘，感叹它是最好的时光。'), (2, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/最好的时光 最好的時光/image/海报1.jpg'), (3, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/最好的时光 最好的時光/image/剧照1.jpg'), (4, 'None')]
5	7.3	刺客聂隐娘	[(0, '主演是舒淇,张震,周韵,妻夫木聪,阮经天。编剧是阿城、朱天文、谢海盟、侯孝贤、裴铏。类型是剧情、武侠、古装。制片国家/地区是中国台湾、中国大陆、中国香港。语言是汉语普通话。上映时间是2015-08-27(中国大陆、中国香港)。时长是107分钟。'), (1, '剧情简介是寂寞天宝后，巍巍大唐辉煌告终，朝廷的威严和向心力进一步削弱。此时藩镇林立，派系迭起，在四分五裂的乱象之下李氏帝国勉强维持着不堪一击的和平与威信。河北三镇之一的魏博镇，刚愎暴戾的节度使田季安（张震饰）野心勃勃，相机而动。会朝廷派神策兵讨伐王承宗，魏博主从各执一词，纷争连连。与此同时，田季安自幼被公主道姑带到山上修炼剑法的表妹聂隐娘（舒淇饰）满师归来。她谨遵师父教诲，奉行杀一人以救万人的理念，接连手刃多位大僚，而此次归来则将狙击目标锁定在田季安身上。剑术已成，道心未坚，侠女聂隐娘捷若猿猱，隐迹红尘……本片根据唐人裴刑的传奇小说《聂隐娘》改编，并荣获第68届戛纳电影节竞赛单元最佳导演奖。'), (2, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/刺客聂隐娘/image/海报1.jpg'), (3, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/刺客聂隐娘/image/剧照1.jpg'), (4, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/刺客聂隐娘/video/视频1.mp4')]
6	8.2	海上花	[(0, '主演是梁朝伟,羽田美智子,刘嘉玲,李嘉欣,高捷。编剧是朱天文、韩邦庆、张爱玲。类型是剧情。制片国家/地区是中国台湾、日本。语言是粤语、上海话。上映时间是1998-10-01(中国台湾)。时长是113分钟。'), (1, '剧情简介是该片改编自张爱玲曾将其“翻译”成国语的吴语小说《海上花列传》。上海英租界一所名叫“长三公寓”的高级妓院里，红倌人沈小红（羽田美智子）、黄翠凤（李嘉欣）与周双珠（刘嘉玲）心事迥异，一个想同某个男人建立长久关系，一个一边与多个男人斡旋，一边秘密锁定其中最有闲有钱的一位，想其将来帮她赎身，另一个心地仁厚，却又看破红尘，觉得人生不过如此。几个女人用生存、竞争与心计作武器参与两性（同性）斗争，来到妓院狎妓的男人则抛出金钱、权力与性，见招拆招。'), (2, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/海上花/image/海报1.jpg'), (3, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/海上花/image/剧照1.jpg'), (4, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/海上花/video/视频1.mp4')]
7	8.1	南国再见，南国南國再見，南國	[(0, '主演是高捷,林强,伊能静,徐贵樱,高明。编剧是高捷、朱天文、林强。类型是剧情、犯罪。制片国家/地区是中国台湾。语言是汉语普通话、闽南语。上映时间是1996-05-13(戛纳电影节)。时长是124分钟。'), (1, '剧情简介是高哥（高捷）接到小麻花（伊能静）的电话，赶到夜市见到被揍得鼻青脸肿的扁头（林强），没动手而是找到刑警欲讨公道，却被反抓，明白自己的尴尬处境——原来“弃武从文”只会使自己更难堪。可是以前混黑社会的日子，想想得来的也只有失落。因为不懂与时俱进，高哥显得很“可悲”，天早换成了另外的天，他却仍固守着原来的那朵云。30岁的他顾家、重情义、有思想，不想在打打杀杀中混日子，可是却无力改变环境，只能想办法适应环境，然而适应的结果，是事业与爱情的双失败。当他和小麻花、扁头在一起，能短暂放松身心，但是他们在食物链中处于相同的一环，能做的，也只是尽量要笑声持久一些。'), (2, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/南国再见南国 南國再見南國/image/海报1.jpg'), (3, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/南国再见南国 南國再見南國/image/剧照1.jpg'), (4, 'None')]
8	8.7	冬冬的假期	[(0, '主演是梅芳,古军,王启光,颜正国,陈博正。编剧是朱天文、侯孝贤。类型是剧情、儿童。制片国家/地区是中国台湾。语言是汉语普通话、客家话、上海话。上映时间是1984。时长是98分钟。'), (1, '剧情简介是因为妈妈生病在床，台北某所小学毕业生冬冬（王启光）携带妹妹婷婷（李淑桢）来到乡下外公家度暑假，在和当地小朋友共度快乐时光的同时，也逐渐见识到成人世界的各色脸孔。舅舅（陈博正）房间里藏有通缉犯人，同一个女孩谈着惹外公火冒三丈的恋爱；人见人怕人躲的疯女人（杨丽音）和婷婷交上朋友，并救了婷婷一条命；为救治疯女人，外公没赶去台北看望自己要病危的女儿……冬冬虽是懂事的孩子，但上述种种，要他好好消化掉却也费力。但当妈妈和疯女人均转危为安，冬冬在听完外公的一席话后，明白了许多事情不能只看表面。'), (2, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/冬冬的假期/image/海报1.jpg'), (3, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/冬冬的假期/image/剧照1.jpg'), (4, 'None')]
9	8.4	戏梦人生戲夢人生	[(0, '主演是蔡振南,洪流,黄倩茹,李天禄,林强。编剧是吴念真Nien-JenWu、李天禄、朱天文。类型是剧情、传记、战争。制片国家/地区是中国台湾。语言是汉语普通话、日语、闽南语。上映时间是1994-05-19(中国香港)。时长是142分钟。'), (1, '剧情简介是布袋戏大师李天禄（李天禄饰）出生于台湾的日本殖民统治时期，他用口述回忆自己的戏梦人生，故事终结于日本战败投降。小时候的李天禄家里充满矛盾，母亲去世，来了一位冷酷的继母（杨丽音饰），他跟父亲（蔡振南饰）学得掌上手艺后独自离家，随木偶剧团登台演出、四处游走。年轻时的李天禄（林强饰）入赘女方家里。后来战争爆发，布袋戏被禁。唱歌仔戏到邂逅丽珠（魏筱惠饰），太平洋战争爆发后，他加入“英美击减催进队”，为日本演宣传剧，和日本人有了不错的交情。后来李天禄一家人躲避空袭疏散到南部，这过程中，他失去了亲人，而第二天战争就告结束。'), (2, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/戏梦人生 戲夢人生/image/海报1.jpg'), (3, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/戏梦人生 戲夢人生/image/剧照1.jpg'), (4, 'None')]
10	7.5	好男好女	[(0, '主演是林强,伊能静,高捷,魏筱惠,蔡振南。编剧是朱天文。类型是剧情、爱情、历史。制片国家/地区是中国台湾、日本。语言是汉语普通话、粤语、日语、闽南语。上映时间是1995-05-22(戛纳电影节)。时长是108分钟。'), (1, '剧情简介是作为演员，梁静（伊能静）更喜欢戏里的世界。戏里，她扮演蒋碧玉，那是一个见证创造了历史的，从娇生惯养的千金小姐一步步变成坚强的革命义士的，和钟浩东（林强）谈过轰轰烈烈恋爱的，天塌下来，也可以用柔弱肩膀顶回去的女人。一旦做回自己，她便成为一具沉浸在对死去的阿飞男友阿威（高捷）的回忆里不能自拔的，过去日记被人偷去又被不定期传真回来的，时常接到不发声骚扰电话的，抢了姐姐男人的，做演员之前是个舞小姐的，孤独、压抑、拼命想回到从前的干尸。历史并不能真正走进去，梁静当然明白。戏结束了，痛快地哭一场之后，仍要回到现实中来，继续过麻木的日子。'), (2, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/好男好女/image/海报1.jpg'), (3, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/好男好女/image/剧照1.jpg'), (4, 'None')]
11	7.4	咖啡时光珈琲時光	[(0, '主演是一青窈,浅野忠信,萩原圣人,余贵美子,小林稔侍。编剧是侯孝贤、朱天文。类型是剧情。制片国家/地区是日本、中国台湾。语言是日语、英语。上映时间是2003-12-10(日本)。时长是103分钟。'), (1, '剧情简介是阳子（一青窈）表面看来是个温文有礼的传统女性，却有前卫出格的思想，台北教书生涯让她收获了尚在腹中的胎儿，并就是否将他（她）生下与父母产生矛盾——她不认为孩子一定要有爸爸。小书店老板也是阳子朋友的肇（浅野忠信）虽喜欢她，但因没作好承担责任的思想准备，并没在阳子人生最困顿时伸来一双及时的手。作为纪念小津诞辰100周年而拍的该片，没能复制小津镜头下的东京景象（因为已经消失），却复制了小津电影里安静恬美的意境和隐忍克制的情感。但时间毕竟流过了几十年，隐忍情感的角度已有很大的转变。'), (2, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/咖啡时光 珈琲時光/image/海报1.jpg'), (3, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/咖啡时光 珈琲時光/image/剧照1.jpg'), (4, 'None')]
12	8.1	儿子的大玩偶兒子的大玩偶	[(0, '主演是陈博正,杨丽音,崔福生,卓胜利,江霞。编剧是黄春明、吴念真Nien-JenWu。类型是剧情。制片国家/地区是中国台湾。语言是闽南语、汉语普通话。上映时间是1983-09-02(中国台湾)。时长是105分钟。'), (1, '剧情简介是《儿子的大玩偶》：乡镇失业青年坤树（陈博正饰）为了养家糊口，替电影院做“三明治广告人”。他化装成小丑身前身后挂着厚厚的广告牌，但却得不到家人及亲友的认同，总为此事争吵不休。当坤树去掉化装的油彩时，小儿子竟不认识父亲了，被吓得哭闹起来……《小琪的帽子》：王武雄（金鼎饰）退伍后找到一份推销员的工作，公司派他到沿海城镇推销日本生产的压力锅，在小镇内遇到小女孩小琪。然而，王武雄最感到不解的是小琪头上总是紧扣著那顶帽子，让他觉得非常奇怪。同时王武雄的搭档林再发（方定台饰）接到怀孕妻子写信要求他快点回家。但是，压力锅却发生问题……《苹果的滋味》：居住在贫民区的小工阿发（卓胜利饰），被美军汽车撞成残废后住进豪华医院。美军给了他一笔可观的赔偿费，还答应将其哑女送美国学习。阿发一家人悲喜交集，连连向美军道谢……'), (2, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/儿子的大玩偶 兒子的大玩偶/image/海报1.jpg'), (3, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/儿子的大玩偶 兒子的大玩偶/image/剧照1.jpg'), (4, 'None')]
13	6.2	就是溜溜的她	[(0, '主演是凤飞飞,钟镇涛,陈友。编剧是侯孝贤。类型是剧情、喜剧、爱情。制片国家/地区是中国台湾。语言是汉语普通话。上映时间是1980。时长是89分钟。'), (1, '剧情简介是想通过一段悠闲乡间生活来结束自己少女时代的千金小姐潘文琦（凤飞飞）在乡下偶遇同样来自台北的土地测量师大利（阿B），两人经过短暂误会，互生好感。可是返回台北后，却面临门不当户不对的尴尬。比起一般贵小姐，潘文琦个性虽很独立，却也乖乖听父母话去见了未来的老公（陈友），并对其也生出一定好感，面临选择的两难。当她摇摆不定时，大利主动出击，揽起“情敌”的肩膀，玩起“欲迎却拒”的游戏。一番笑闹过后，大利的身世被揭开，所有问题迎刃而解。'), (2, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/就是溜溜的她/image/海报1.jpg'), (3, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/就是溜溜的她/image/剧照1.jpg'), (4, 'None')]
14	7.1	在那河畔青草青	[(0, '主演是钟镇涛,江玲,崔福生,周品君,陈美凤。编剧是侯孝贤。类型是剧情。制片国家/地区是中国台湾。语言是汉语普通话。上映时间是1982-11-27(中国台湾)。时长是90分钟。'), (1, '剧情简介是卢大年（钟镇涛饰）因替即将出国的姐姐代课来到内湾，在姐姐安排下住进小学音乐老师陈素云（江玲饰）家的二楼。大年担任四年级忠班的班主任。在班上，他一方面要对付调皮捣蛋出了名的“三剑客”，同时也关心着因父母离婚而性格孤僻的学生周兴旺（郑传文饰）。陈素云是个文静的姑娘，整日与大年同来同往，互相产生爱慕之情。在内湾，存在着以投毒和电击的方法捕鱼，大年决心根除这种严重破坏大自然生态的捕鱼方法，在内湾小学发起“爱川护鱼”运动，并在内湾地区推广开来。周兴旺的父亲周文（崔福生饰）经常去电鱼，为此，他受到同学嘲弄而离家出走。大年和素云要去找回孩子，最后他们能结合在一起吗？'), (2, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/在那河畔青草青/image/海报1.jpg'), (3, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/在那河畔青草青/image/剧照1.jpg'), (4, 'None')]
15	6.2	风儿踢踏踩風兒踢踏踩	[(0, '主演是钟镇涛,凤飞飞,陈友。编剧是侯孝贤。类型是剧情、爱情。制片国家/地区是中国台湾。语言是汉语普通话。上映时间是1981-11-18(中国台湾)。时长是90分钟。'), (1, '剧情简介是辛慧（凤飞飞）随身份是广告导演的男友罗仔（陈友）在澎湖出外景时，结识盲人金台（阿B），被其纯朴吸引。得知金台双眼失明原因以及有望复明后，辛慧给予他尽可能多的宽慰和帮助，并渐渐爱上了他。力的作用是相互的，这边金台也爱上了辛慧。辛慧边同金台恋爱，边从另一角度审视自己走过的路，发现所谓独立只是假像，自己一直在沿着一条早已规划好的路走，决定在少女时代结束前去圆最本真的个人梦想。个性使然，也因觉得金台能理解到，她没向金台解释携罗仔上路的原因，误会产生，但没到不可挽救的程度。'), (2, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/风儿踢踏踩 風兒踢踏踩/image/海报1.jpg'), (3, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/风儿踢踏踩 風兒踢踏踩/image/剧照1.jpg'), (4, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/风儿踢踏踩 風兒踢踏踩/video/视频1.mp4')]
16	8.0	盛世里的工匠技艺	[(0, '主演是侯孝贤,蔡玫芬。编剧是黄文英、阿城。类型是纪录片。制片国家/地区是中国台湾。语言是汉语普通话。上映时间是2008-02(中国台湾)。时长是55分钟。'), (1, '剧情简介是《盛世里的工匠技艺》是一支内容精致、拍摄细腻的纪录片。分别以“唐英”、“多宝格”、“果园厂”与“明人出警入跸图”四个段落，展现十数件明清精品。镜头前的文物，安静、浑厚，隐隐散发出浓重的感染力，让人直接领受盛世工匠的用心与千年文化的厚度。侯孝贤说：“我们之所以喜欢古的东西、手工的东西，是因为我们的美感来源，就是由这历时久远的技艺中，逐渐形成。”法国人类学家李维·史陀所言“技艺，是人在宇宙中为自己所找到的位置”成为全片的点睛之笔。片长：55分。'), (2, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/盛世里的工匠技艺/image/海报1.jpg'), (3, 'None'), (4, 'None')]
17	7.1	尼罗河女儿尼羅河女兒	[(0, '主演是杨林,杨帆,高捷,李天禄,崔福生。编剧是朱天文。类型是剧情。制片国家/地区是中国台湾。语言是汉语普通话。上映时间是1987-08-22(中国台湾)。时长是91分钟。'), (1, '剧情简介是少女林晓阳（杨林饰）爱看漫画，常幻想自己是细川智荣子少女漫画《尼罗河女儿》主角。她生活在繁华的台北，白天在肯德基当店员，晚上在夜校读书。晓阳与家人住在一座简陋的平房里，祖父（李天禄饰）是个风趣的老头。父亲（崔福生饰）在嘉义当员警，常年在外执勤。母亲去世后，晓阳肩负起母亲的职责，照顾上了年纪的父亲及上学的妹妹，并整天为哥哥担心。哥哥（高捷饰）与朋友合开一家餐厅，白天工作，晚上当小偷，却能照顾到家人。父亲和哥哥爆发冲突时，晓阳总是站在哥哥一边。她暗恋上哥哥的朋友阿三，却不知阿三爱着别人。种种事实让她感到气愤、悲伤和绝望，并在遭受打击后成熟清醒。'), (2, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/尼罗河女儿 尼羅河女兒/image/海报1.jpg'), (3, 'Rating_Prediction/MMMD\\data/post_video/侯孝贤/尼罗河女儿 尼羅河女兒/image/剧照1.jpg'), (4, 'None')]
